ACEPTADO|Aprobado, admitido
ACEPTAR|Recibir uno voluntariamente lo que se le da u ofrece
ACEPTAR|Recibir uno voluntariamente lo que se le ofrece
ACEQUIA|Zanja para conducir agua
ACEQUIAR|Hacer acequias
ACEQUIERO|El que rige el uso de las acequias, o cuida de ellas
ACERA|Parte lateral, destinada a los peatones, de una calle o vía pública
ACERA|Parte lateral, destinada a los peatones, de una calle o vía pública
ACERABLE|Que puede ser acerado
ACERADO|Parecido al acero
ACERBO|Áspero al gusto.// Fig. Cruel, riguroso
ACERCA|(~ de) Sobre la cosa de que se trata
ACERCADO|Aproximado, puesto más cerca
ACERCAR|Aproximar, poner a menor distancia
ACERCARSE|Aproximarse, ponerse cerca o a menor distancia, en orden al espacio, tiempo, números, cualidades, etc.
ACERERÍA|Fábrica de acero
ACERILLO|Almohadilla para clavar en ella alfileres y agujas
ACERISTA|Perito en la fabricación de aceros o dedicado a su producción
ACERO|Hierro combinado con pequeñas cantidades de carbono y que adquiere con el temple gran dureza y elasticidad
ACERO|Hierro combinado con pequeñas cantidades de carbono y que adquiere con el temple gran dureza y elasticidad
ACÉRRIMO|Fig. Muy fuerte, decidido o tenaz
ACERROJA|Pone bajo cerrojo una cosa
ACERROJAR|Poner bajo cerrojo una cosa
ACERTADO|Adecuado, apropiado,  oportuno,  conveniente,  que  tiene  o  incluye  acierto
ACERTADO|Adecuado, apropiado, oportuno, conveniente, que tiene o incluye acierto
ACERTADO|Adecuado, apropiado,  oportuno,  que  tiene  o  incluye  acierto
ACERTAR|Dar en el punto previsto o propuesto
ACERTIJO|Especie de enigma para entretenerse en acertarlo
ACERUELO|17Especie de albardilla para cabalgar
ACERUELO|Especie de albardilla para cabalgar
ACERVO|Conjunto de bienes morales o culturales acumulados por tradición o herencia
ACESCENTE|Que se agria o empieza a agriarse
ACETÁBULO|Cavidad de un hueso en que encaja otro
ACETAMIDA|Quím. Amida del ácido acético utilizada en la síntesis orgánica industrial
ACETATO|Sal o éter del ácido acético
ACÉTICO|Relativo al vinagre
ACETILENO|Hidrocarburo gaseoso que arde con llama muy brillante y se emplea para el alumbrado y en la soldadura
ACETILO|Radical orgánico correspondiente al ácido acético
ACETONA|Líquido incoloro, inflamable, volátil, de olor característico, empleado como disolvente de lacas, barnices, pinturas, etc.
ACETOSA|Acedera, planta poligonácea, de tallo fistuloso y hojas de sabor ácido, que se emplean como condimento
ACETOSO|Ácido, que sabe a vinagre
ACETRE|Caldero pequeño en que se lleva el agua bendita para las aspersiones
ACETRE|Caldero pequeño en que se lleva el agua bendita para las aspersiones
ACEVEDO|(Eduardo ~ Díaz) Escritor y político uruguayo (1851-1921)
ACEVEDO|(Eduardo ~ Díaz) Escritor y político uruguayo, (1851-1921)
ACEZANTE|Anhelante, ansioso
ACHACAR|Atribuir, imputar algo a uno
ACHACOSO|Indispuesto, levemente enfermo
ACHALAY|Argent., Ecuad. Interjección con que se denota, a menudo irónicamente, admiración por lo lindo o bonito
ACHAQUE|Enfermedad o indisposición habitual
ACHAQUES|Indisposiciones habituales
ACHARES|Celos, disgusto, pena
ACHAROLAR|Barnizar algo con charol
ACHATADO|Aplastado, aplanado
ACHICABLE|Que puede achicarse
ACHICADOR|Mar. Especie de cucharón de madera que sirve para achicar el agua en los botes
ACHICAR|Disminuir el tamaño de una cosa
ACHICORIA|Planta compuesta de hojas y raíces amargas que se usan como febrífugo y estomacal
ACHINADO|Persona que por los rasgos de su rostro se parece a los naturales de China
ACHIOTAL|Terreno plantado de achiotes
ACHIOTE|Nombre común de un árbol de la familia de las Bixáceas que crece en las regiones cálidas de América, también llamado bija
ACHIOTERA|P. Rico. Vasija destinada a contener achiote
ACHIQUE|Acción y efecto de achicar
ACHIRA|Amér. Planta alismácea de América meridional, de tallo nudoso y flor colorada
ACHIRLAR|Arg. Hacer chirle o más líquida una mezcla
ACHISPADO|Algo ebrio
ACHISPAR|Poner casi ebrio a uno
ACHOTERA|P. Rico. Vasija para guardar achote
ACHULADO|Fam. Que tiene aire o modales de chulo
ACHUNCHAR|Bol. y Chile. Avergonzar, turbar
ACHUPALLA|Planta bromeliácea, de América del Sur, de tallos gruesos y retorcidos, hojas espinosas por los bordes y flores en espiga. De sus tallos se hace una bebida refrescante
ACHURA|Amér. Merid. Intestino o menudo del animal vacuno, lanar o cabrío
ACHUREAR|16 : Fam. Herir o matar a alguien
ACHUREAR|Fam. Herir o matar a alguien
ACIAGO|Infausto, infeliz, desgraciado, de mal agüero
ACÍBAR|Purgante amargo usado en medicina, extraído del aloe
ACICALADO|Pulcro, bien arreglado
ACICALAR|Limpiar, bruñir
ACICATE|8Espuela con sólo una punta de hierro
ACICATE|Espuela con sólo una punta de hierro
ACICATEAR|Incitar, estimular
ACICATES|Espuelas con sólo una punta de hierro
